ph_cpnA_vec,ph_cpnB_vec,sample,segment,logr_vec
1.6865203172007197,3.07411767502406,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.0409712617646757
1.2620564456989898,3.02524697621312,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.0289525109382171
1.5786760582296897,2.12353590118845,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.120349408484991
2.61227719847816,3.44967250560033,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.217385014897843
2.26776368697473,2.49638123675545,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.0414768835019943
1.44939593721996,3.55117912894725,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.0751625490266006
1.5534160040081098,2.3643469995121302,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.08600098255236
2.46638068855721,3.56455009087185,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.213421395795858
1.7772843737031598,2.92867402549414,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.033064669385851
1.3936955284706598,3.3130574686674903,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.033179877952851
1.7074745710777797,2.54089485186639,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.0348578012962163
1.5258835060581095,2.4688020787204903,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.0739385742802791
2.2625722571733395,2.67180762875044,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.0658103182427123
1.7797603285637895,3.81217767823801,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,0.15612669737603
1.7281849275762398,2.61497437360934,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.0205225966645667
1.2028875861186497,2.60940910494751,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.102705062623522
1.1882267021338098,2.62333730586759,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.102821786355309
1.42449553305265,2.93476398316798,U_LTXSIM039_SU_T1.R1,5_178411315_180687830,-0.0181018278371238
