segment,sample,cpnA,cpnB,tumour_id
3_10077023_10191734,U_LTXSIM001_SU_T1.R1,4.0,2.0,LTXSIM001
3_10077023_10191734,U_LTXSIM001_SU_T1.R2,4.000000000000001,2.0000000000000004,LTXSIM001
3_10077023_10191734,U_LTXSIM001_SU_T1.R3,4.0,2.0,LTXSIM001
11_65545995_65629325,U_LTXSIM001_SU_T1.R1,4.0,2.0,LTXSIM001
11_65545995_65629325,U_LTXSIM001_SU_T1.R2,4.000000000000001,2.0000000000000004,LTXSIM001
11_65545995_65629325,U_LTXSIM001_SU_T1.R3,4.0,2.0,LTXSIM001
16_81211548_81816818,U_LTXSIM001_SU_T1.R1,1.9112663698615384,2.0,LTXSIM001
16_81211548_81816818,U_LTXSIM001_SU_T1.R2,1.0754594310917192,2.0000000000000004,LTXSIM001
16_81211548_81816818,U_LTXSIM001_SU_T1.R3,1.4114989044134187,2.0,LTXSIM001
1_6204266_6634901,U_LTXSIM001_SU_T1.R1,3.0,2.0,LTXSIM001
1_6204266_6634901,U_LTXSIM001_SU_T1.R2,3.000000000000001,2.0000000000000004,LTXSIM001
1_6204266_6634901,U_LTXSIM001_SU_T1.R3,3.0,2.0,LTXSIM001
22_46829252_47073142,U_LTXSIM001_SU_T1.R1,1.1130132777260977,2.886986722273902,LTXSIM001
22_46829252_47073142,U_LTXSIM001_SU_T1.R2,1.900950445563021,2.09904955443698,LTXSIM001
22_46829252_47073142,U_LTXSIM001_SU_T1.R3,2.0,2.0,LTXSIM001
