CHR,POS,clone1_A_true,clone8_A_true,clone12_A_true,clone13_A_true,clone14_A_true,clone15_A_true,clone16_A_true,clone18_A_true,clone19_A_true,clone20_A_true,clone21_A_true,segment,clone1_B_true,clone8_B_true,clone12_B_true,clone13_B_true,clone14_B_true,clone15_B_true,clone16_B_true,clone18_B_true,clone19_B_true,clone20_B_true,clone21_B_true,chr,start,end
20,11937677,4,4,4,4,4,4,4,4,4,4,4,1_158585215_158644125,0,0,0,0,0,0,0,0,0,0,0,chr20,158585215,158644125
15,22082892,4,4,4,4,4,4,4,4,4,4,4,5_19473438_40945465,2,2,2,2,2,2,2,2,2,2,2,chr15,19473438,40945465
10,74600938,2,2,2,2,2,2,2,2,2,2,2,16_460926_705158,2,2,2,2,2,2,2,2,2,2,2,chr10,460926,705158
4,115525992,3,3,3,3,3,3,3,3,3,3,3,20_61449793_61528326,3,3,3,3,3,3,3,3,3,3,3,chr4,61449793,61528326
10,133876791,4,4,4,4,4,4,4,4,4,4,4,1_9658465_11087207,4,4,4,4,4,4,4,4,4,4,4,chr10,9658465,11087207
15,11757883,2,2,2,2,2,2,2,2,2,2,2,17_78264436_78704325,1,2,2,2,2,2,2,2,2,2,2,chr15,78264436,78704325
3,51734581,2,2,2,2,2,2,2,2,0,0,0,19_46367670_48693887,2,2,2,2,2,2,2,2,4,4,4,chr3,46367670,48693887
9,84407348,2,2,2,2,2,2,2,2,2,2,2,16_81157243_81173136,2,2,2,2,2,2,2,2,2,2,2,chr9,81157243,81173136
6,89723021,3,3,3,3,3,3,3,3,3,3,3,1_149921545_152085510,3,3,3,3,3,3,3,3,3,3,3,chr6,149921545,152085510
3,88056840,2,2,2,2,2,2,2,2,2,2,2,18_29027771_29122864,4,4,4,4,4,4,4,4,4,4,4,chr3,29027771,29122864
5,55846210,4,4,4,4,4,4,4,4,4,4,4,8_85097381_87454974,2,2,2,2,2,2,2,2,2,2,2,chr5,85097381,87454974
15,18101072,2,2,2,2,2,2,2,2,0,0,0,6_69666109_72091314,2,2,2,2,2,2,2,2,4,4,4,chr15,69666109,72091314
6,73970825,3,2,2,2,2,2,3,3,2,2,2,8_131373840_136246705,3,2,2,2,2,2,3,3,2,2,2,chr6,131373840,136246705
17,34241194,2,2,2,2,2,2,2,2,2,2,2,12_208351_6061116,4,4,4,4,4,4,4,4,4,4,4,chr17,208351,6061116
8,68867455,3,3,3,3,3,3,3,3,3,3,3,16_9761197_10641262,3,3,3,3,3,3,3,3,3,3,3,chr8,9761197,10641262
1,165046666,2,2,2,2,2,2,2,2,2,2,2,16_10861830_11250491,2,2,2,2,2,2,2,2,2,2,2,chr1,10861830,11250491
1,169162940,4,4,4,4,4,4,4,4,4,4,4,2_218750377_219754749,4,4,4,4,4,4,4,4,4,4,4,chr1,218750377,219754749
11,133916272,0,0,2,0,0,0,0,0,2,2,2,6_37225788_39283200,4,4,2,4,4,4,4,4,2,2,2,chr11,37225788,39283200
16,59551263,4,4,2,4,4,4,4,4,2,2,2,3_143412268_158378836,0,0,2,0,0,0,0,0,2,2,2,chr16,143412268,158378836
17,59240644,2,2,2,2,2,0,2,2,2,2,2,19_51742799_52227261,2,2,2,2,2,4,2,2,2,2,2,chr17,51742799,52227261
1,67795338,2,2,2,2,2,2,2,2,2,2,2,17_73886888_74274232,2,2,2,2,2,2,2,2,2,2,2,chr1,73886888,74274232
7,59226387,3,3,3,3,3,3,3,3,3,3,3,1_153536346_157494131,3,3,3,3,3,3,3,3,3,3,3,chr7,153536346,157494131
3,98748174,2,2,2,2,2,2,2,2,2,2,2,9_27229235_43818062,4,4,4,4,4,4,4,4,4,4,4,chr3,27229235,43818062
7,115641327,3,3,3,3,3,3,3,3,3,3,3,4_98902407_100048327,3,3,3,3,3,3,3,3,3,3,3,chr7,98902407,100048327
4,90462026,4,4,4,4,4,4,4,4,4,4,4,2_234637912_234704318,4,4,4,4,4,4,4,4,4,4,4,chr4,234637912,234704318
15,45539506,2,2,2,2,2,2,2,2,2,2,2,12_40702420_40951961,0,0,0,0,0,0,0,0,0,0,0,chr15,40702420,40951961
14,48730355,2,2,2,2,2,2,2,2,2,2,2,16_4310419_4457527,2,2,2,2,2,2,2,2,2,2,2,chr14,4310419,4457527
9,12536150,2,2,2,2,2,2,2,2,2,2,2,9_139327034_139327515,2,2,2,2,2,2,2,2,2,2,2,chr9,139327034,139327515
8,63213345,1,2,2,2,2,2,1,1,2,2,2,1_28261593_28573182,2,2,2,2,2,2,2,2,2,2,2,chr8,28261593,28573182
6,160886966,2,2,2,2,2,2,2,2,2,2,2,5_10239188_17275966,2,2,2,2,2,2,2,2,2,2,2,chr6,10239188,17275966
18,56492087,4,2,2,2,2,2,2,2,2,2,2,16_88880811_89167138,0,2,2,2,2,2,2,2,2,2,2,chr18,88880811,89167138
11,101846157,2,2,2,2,2,2,2,2,2,2,2,19_53770327_54075076,3,3,3,3,3,3,3,3,3,3,3,chr11,53770327,54075076
5,138221360,3,2,2,2,2,2,2,2,2,2,2,10_132944769_134143942,3,2,2,2,2,2,2,2,2,2,2,chr5,132944769,134143942
19,54998296,2,3,2,2,2,2,2,2,2,2,2,1_76251921_76344826,2,3,2,2,2,2,2,2,2,2,2,chr19,76251921,76344826
1,73013694,3,3,3,3,3,3,3,3,3,3,3,11_114421721_114441639,3,3,3,3,3,3,3,3,3,3,3,chr1,114421721,114441639
6,101707132,2,2,2,2,2,2,2,2,2,2,2,9_117430670_123671681,2,2,2,2,2,2,2,2,2,2,2,chr6,117430670,123671681
13,2014790,3,3,3,3,3,3,3,3,3,3,3,6_26508729_30122215,3,3,3,3,3,3,3,3,3,3,3,chr13,26508729,30122215
17,60835013,4,4,4,4,4,4,4,4,4,4,4,19_51532399_51739114,2,2,2,2,2,2,2,2,2,2,2,chr17,51532399,51739114
2,21920228,4,4,4,4,4,4,4,4,4,4,4,2_220041433_223917983,2,2,2,2,2,2,2,2,2,2,2,chr2,220041433,223917983
11,125279387,2,2,2,2,2,2,2,2,2,2,2,2_208693168_211341156,2,2,2,2,2,2,2,2,2,2,2,chr11,208693168,211341156
14,50775224,2,2,2,2,2,2,2,2,2,2,2,18_56149109_57567641,2,2,2,2,2,2,2,2,2,2,2,chr14,56149109,57567641
9,90834908,4,4,4,4,4,4,4,4,4,4,4,3_10077023_10191734,2,2,2,2,2,2,2,2,2,2,2,chr9,10077023,10191734
11,49247556,2,2,2,2,2,2,2,2,2,2,2,14_22320724_22533901,2,2,2,2,2,2,2,2,2,2,2,chr11,22320724,22533901
9,37644074,4,4,4,4,4,4,4,4,4,4,4,7_97821172_99332807,2,2,2,2,2,2,2,2,2,2,2,chr9,97821172,99332807
1,35811380,1,1,2,1,1,1,1,1,2,2,2,14_104643811_105174381,2,2,2,2,2,2,2,2,2,2,2,chr1,104643811,105174381
3,142145640,2,2,2,2,2,2,2,2,2,2,2,17_74476045_74557431,2,2,2,2,2,2,2,2,2,2,2,chr3,74476045,74557431
2,41959418,2,2,2,2,2,2,2,2,2,2,2,10_47000004_51051653,0,0,0,0,0,0,0,0,0,0,0,chr2,47000004,51051653
6,70427987,2,2,2,2,2,2,2,2,2,2,2,4_5969303_6590926,2,2,2,2,2,2,2,2,2,2,2,chr6,5969303,6590926
8,20005334,2,2,2,2,2,2,2,2,2,2,2,3_132193703_132948260,2,2,2,2,2,2,2,2,2,2,2,chr8,132193703,132948260
3,197890383,2,2,2,2,2,2,2,2,2,2,2,13_19600440_19962000,2,2,2,2,2,2,2,2,2,2,2,chr3,19600440,19962000
8,71969845,2,2,2,2,2,2,2,2,2,2,2,15_75980112_81274437,3,2,2,2,2,2,2,2,2,2,2,chr8,75980112,81274437
2,189827255,1,2,2,2,2,2,1,1,2,2,2,6_46761195_47646933,2,2,2,2,2,2,2,2,2,2,2,chr2,46761195,47646933
18,58321180,4,4,4,4,4,4,4,4,4,4,4,16_88123400_88878380,0,0,0,0,0,0,0,0,0,0,0,chr18,88123400,88878380
7,84070242,2,2,2,2,2,2,2,2,2,2,2,1_42049422_44415415,2,2,2,2,2,2,2,2,2,2,2,chr7,42049422,44415415
11,115178156,2,0,2,2,2,2,2,2,2,2,2,1_33487007_42049386,2,4,2,2,2,2,2,2,2,2,2,chr11,33487007,42049386
1,212584066,2,2,2,2,2,2,2,2,2,2,2,15_53809859_56935311,4,4,4,4,4,4,4,4,4,4,4,chr1,53809859,56935311
9,117824821,2,2,2,2,2,2,2,2,2,2,2,10_121718112_128202436,2,2,2,2,2,2,2,2,2,2,2,chr9,121718112,128202436
1,5384685,4,4,4,4,4,4,4,4,4,4,4,3_46245424_49095147,0,0,0,0,0,0,0,0,0,0,0,chr1,46245424,49095147
12,54257868,2,2,2,2,2,2,2,2,2,2,2,17_49043535_49257946,2,2,2,2,2,2,2,2,2,2,2,chr12,49043535,49257946
4,189187586,2,2,2,2,2,2,2,2,2,2,2,3_15117006_23364882,4,4,4,4,4,4,4,4,4,4,4,chr4,15117006,23364882
